i,contr?,nome,razão social,cnpj,Receita líquida pela Valor (milhões de reias),Receita líquida pela Economatica (milhões de reias),“Poder” indireto (das empresas em que i tem participação),“Poder” total (receita da empresa i + valor indireto),Indicador,Fonte,Poder direto - controle,Poder direto - parcial,Poder indireto - controle,Poder indireto - parcial,Composição acionária direta,Estatal ou Privada?
2416,"",Transportadora Remon Ltda,Transportadora Remon Ltda,'',-,-,-,-,-,Economatica associado,"","","","","",
2417,"",Nakemill SA,Nakemill SA,'',-,-,-,-,-,Economatica associado,"","","","","",
2418,"",Porto Real S/A Com. Ind. e Agrop.,Porto Real S/A Com. Ind. e Agrop.,'',-,-,-,-,-,Economatica associado,Fluminense Refriger (91.18%),"","","","",
2419,"",Altocapital Ajax Fundo de Investimento em Acoes,Altocapital Ajax Fundo de Investimento em Acoes,'',-,-,-,-,-,Economatica associado,"","","","","",
2420,"",Andre Luiz Wolf,Andre Luiz Wolf,'',-,-,-,-,-,Economatica associado,"",Livr Globo (7.14%),"","","",
2421,"",Clube Inv Valore,Clube Inv Valore,'',-,-,-,-,-,Economatica associado,"","","","","",
2422,"",J.R. Participacoes Empresariais Ltd,J.R. Participacoes Empresariais Ltd,'',-,-,-,-,-,Economatica associado,Gazola (4301.71%),"","","","",
2423,"",Notwen de Castro Sayao Cardozo,Notwen de Castro Sayao Cardozo,'',-,-,-,-,-,Economatica associado,"","","","","",
2424,"",Edp - Energias de Portugal S.A.,Edp - Energias de Portugal S.A.,'',-,-,-,-,-,Economatica associado,"","","","","",
2425,sim,F Guimaraes,,'33470022000174',-,-,-,-,-,Economatica,"","","","","Guimtex Participacoes S.A. (89.92%)
Bergo Empreendimentos Ltda (3.37%)
Benjamin Vito Nunes Guimaraes (0.26%)",
2425,"",FIP Brasil de Governanca Corporativa,FIP Brasil de Governanca Corporativa,'',-,-,-,-,-,Economatica associado,"","","","","",
2426,"",Cargill Fertilizant,,'61156501000156',-,-,-,-,-,Economatica,"","","","","",
2427,sim,Geodex,,'02808710000178',-,-,-,-,-,Economatica,"","","","",Bardot Empreendimentos e Particip. (99.61%),
2427,"",Maua Investimentos Ltda.,Maua Investimentos Ltda.,'',-,-,-,-,-,Economatica associado,"","","","","",
2428,"",Finansinos,,'91669747000192',-,-,-,-,-,Economatica,"","","","","Cesaro Participacoes, Assess.e Cons.Ltda (33.83%)
Maria Luiza Adams Sanvitto (14.07%)
Lada Participacoes S/A. (13.70%)
Came Participacoes Ltda. (10.20%)
Jose Adolfo Selbach (6.49%)",
2429,"",Came Participacoes Ltda.,Came Participacoes Ltda.,'',-,-,-,-,-,Economatica associado,"",Finansinos (10.20%),"","","",
2430,"",S L Gazzola Part. Emp. Ltda,S L Gazzola Part. Emp. Ltda,'',-,-,-,-,-,Economatica associado,Gazola (3830.76%),"","","","",
2431,"","Cesaro Participacoes, Assess.e Cons.Ltda","Cesaro Participacoes, Assess.e Cons.Ltda",'',-,-,-,-,-,Economatica associado,"",Finansinos (33.83%),"","","",
2432,"",Lada Participacoes S/A.,Lada Participacoes S/A.,'',-,-,-,-,-,Economatica associado,"",Finansinos (13.70%),"","","",
2433,"",Guimtex Participacoes S.A.,Guimtex Participacoes S.A.,'',-,-,-,-,-,Economatica associado,F Guimaraes (89.92%),"","","","",
2434,"",Fundo Fator Sinergia III e IV,Fundo Fator Sinergia III e IV,'',-,-,-,-,-,Economatica associado,"","","","","",
2435,"",Victoire Brasil Investimentos,Victoire Brasil Investimentos,'',-,-,-,-,-,Economatica associado,"","","","","",
2436,"",Ferro Ligas,,'57487142000142',-,-,-,-,-,Economatica,"","","","","",
2437,"",GP Tec. Fundo de Inv. em Acoes,GP Tec. Fundo de Inv. em Acoes,'',-,-,-,-,-,Economatica associado,"","","","","",
2438,"",Luis Terepins,Luis Terepins,'',-,-,-,-,-,Economatica associado,"","","","","",
2439,"",Ab Electrolux,Ab Electrolux,'',-,-,-,-,-,Economatica associado,"","","","","",
2440,sim,Fer Demellot,,'61196564000136',-,-,-,-,-,Economatica,"","","","",Jose Carlos de Melo (88.89%),
2440,"",Paola Penotti Chiappa,Paola Penotti Chiappa,'',-,-,-,-,-,Economatica associado,"","","","","",
2441,"",Arcelor,Arcelor,'',-,-,-,-,-,Economatica associado,Arcelor BR (66.32%),"","","","",
2442,"",Bunge Inv e Consultoria Ltda,Bunge Inv e Consultoria Ltda,'',-,-,-,-,-,Economatica associado,"",Bunge Brasil (19.62%),"","Bunge Brasil => {Bunge Alimentos (100.00%, final=19.62%)}","",
2443,"",Opportunity Logica Master FIA,Opportunity Logica Master FIA,'',-,-,-,-,-,Economatica associado,"","","","","",
2444,"",Chapeco,,'83296889000123',-,-,-,-,-,Economatica,"","","","","Alimbras S.A. (49.77%)
Bndespar - BNDES Participacoes SA (30.12%)
Francisco Macri (16.56%)",
2445,"",Ivo Alves da Cunha,Ivo Alves da Cunha,'',-,-,-,-,-,Economatica associado,"",Cimob Partic (10.21%),"","","",
2446,sim,Anglo Brazil,,'09295979000147',-,-,-,-,-,Economatica,"","","","",Anglo American Part. em Mineracao Ltda. (98.56%),
2446,"",Paulo de Azevedo Marques,Paulo de Azevedo Marques,'',-,-,-,-,-,Economatica associado,Celm (51.72%),"","","","",
2447,"",Banco Nacional S/A,Banco Nacional S/A,'',-,-,-,-,-,Economatica associado,"",Sam Industr (2.33%),"","","",
2448,"",Segisor,Segisor,'',-,-,-,-,-,Economatica associado,"","","","","",
2449,"",Anglo American Part. em Mineracao Ltda.,Anglo American Part. em Mineracao Ltda.,'',-,-,-,-,-,Economatica associado,Anglo Brazil (98.56%),"","","","",
2450,"",Cimob Partic,,'34177279000103',-,-,-,-,-,Economatica,"","","","","Claudio Abel Ribeiro (23.44%)
Raul Leite Luna (23.04%)
Acp Alves da Cunha Participacoes Lt (13.23%)
Paulo Henrique D. Azambuja (13.23%)
Ivo Alves da Cunha (10.21%)",
2451,"",Angela Meyer Wolf,Angela Meyer Wolf,'',-,-,-,-,-,Economatica associado,"",Livr Globo (7.14%),"","","",
2452,"",Hbbk3 Participacoes Ltda,Hbbk3 Participacoes Ltda,'',-,-,-,-,-,Economatica associado,"",Const Beter (36.08%),"","","",
2453,"","Csfb Teletrim Co-Invest, Fund Llc","Csfb Teletrim Co-Invest, Fund Llc",'',-,-,-,-,-,Economatica associado,"",Cbcc Contact Center (8.76%),"","","",
2454,sim,Cbcc Contact Center,,'00027742000100',-,-,-,-,-,Economatica,"","","","","Victori Investimentos S/A (62.48%)
Csfb Intl Equity Partners (25.02%)
Csfb Teletrim Co-Invest, Fund Llc (8.76%)
Csfb Teletrim Md Fund, Llc (3.75%)",
2454,"",Paulo Isao Kobata,Paulo Isao Kobata,'',-,-,-,-,-,Economatica associado,"","","","","",
2455,"",Creusa Maria Quirino Ferreira,Creusa Maria Quirino Ferreira,'',-,-,-,-,-,Economatica associado,"",Ban Armazens (5.54%),"","","",
2456,"",Maria Jose Baptista de Magalhaes,Maria Jose Baptista de Magalhaes,'',-,-,-,-,-,Economatica associado,"","","","","",
2457,"",Francisco Macri,Francisco Macri,'',-,-,-,-,-,Economatica associado,"",Chapeco (16.56%),"","","",
2458,"",Ana Marta Arrochela Lobo Pitta de Gouveia Bodra,Ana Marta Arrochela Lobo Pitta de Gouveia Bodra,'',-,-,-,-,-,Economatica associado,"",Cims (0.00%),"","","",
2459,"",America do Sul,,'61230165000144',-,-,-,-,-,Economatica,"","","","","",
2460,sim,Albarus,,'92758085000190',-,-,-,-,-,Economatica,"","","","",Dana Equipamentos Ltda (84.19%),
2460,"",Alimbras S.A.,Alimbras S.A.,'',-,-,-,-,-,Economatica associado,"",Chapeco (49.77%),"","","",
2461,"",Guilherme Affonso Ferreira Filho,Guilherme Affonso Ferreira Filho,'',-,-,-,-,-,Economatica associado,"",Bahema (1.20%),"","","",
2462,"",Consorcio Alfa de Administracao S.A,Consorcio Alfa de Administracao S.A,'',-,-,-,-,-,Economatica associado,"","Alfa Financ (29.21%)
Alfa Invest (29.12%)","","","",
2463,"",Hella Brasil Holdings Ltda,Hella Brasil Holdings Ltda,'',-,-,-,-,-,Economatica associado,"",Arteb (1.36%),"","","",
2464,"",Caixa Brasil Participacoes S.A.,Caixa Brasil Participacoes S.A.,'',-,-,-,-,-,Economatica associado,"","","","","",
2465,sim,Cemepe,,'93828986000173',-,-,-,-,-,Economatica,"","","","","Cemisa Participacoes Ltda. (77.54%)
CBC - Cia. Brasileira de Cartuchos (10.91%)
Arbi Rio Incorp Imobiliarias S/A (8.81%)",
2465,"",Cimaf,,'61074506000130',-,-,-,-,-,Economatica,"","","","","Bekaert Brasil Participacoes Ltda (45.00%)
Cia Siderurgica Belgo Mineira (44.58%)
Banco Sul America S/A (5.30%)",
2466,"",Bahema Equipament,,'96832365000151',-,-,-,-,-,Economatica,"","","","","",
2467,"",Lacteos do Brasil S/A,Lacteos do Brasil S/A,'',-,-,-,-,-,Economatica associado,Parmalat (99.90%),"","","","",
2468,"",Marcos Ribeiro Simon,Marcos Ribeiro Simon,'',-,-,-,-,-,Economatica associado,"","","","","",
2469,"",Copas,,'61087912000137',-,-,-,-,-,Economatica,"","","","","",
2470,"",Clube de Investimento Multi,Clube de Investimento Multi,'',-,-,-,-,-,Economatica associado,"","","","","",
2471,"",Portugal Telecom Brasil S.A.,Portugal Telecom Brasil S.A.,'',-,-,-,-,-,Economatica associado,"","","","","",
2472,"",Guilherme Affonso Ferreira,Guilherme Affonso Ferreira,'',-,-,-,-,-,Economatica associado,"",Bahema (5.33%),"","","",
2473,"",Sonia Regina Chiarelli Coloco,Sonia Regina Chiarelli Coloco,'',-,-,-,-,-,Economatica associado,"",Chiarelli (0.13%),"","","",
2474,"",Joao Luiz Pereira Lima,Joao Luiz Pereira Lima,'',-,-,-,-,-,Economatica associado,"","","","","",
2475,sim,Cims,,'00272185000193',-,-,-,-,-,Economatica,"","","","","FI Participacoes Pcp (55.80%)
Pcp Latin America Power S/A (44.20%)
Alessandro Monteiro Morgado Horta (0.00%)
Gilberto Sayao da Silva (0.00%)
Ana Marta Arrochela Lobo Pitta de Gouveia Bodra (0.00%)",
2475,"",Amelco,,'57009078000194',-,-,-,-,-,Economatica,"","","","","",
2476,"",Coinvest,,'61460762000165',-,-,-,-,-,Economatica,"","","","","",
2477,sim,Am Inox BR,,'33390170000189',-,-,-,-,-,Economatica,"","","","","Arcelor Spain Holding Sl. (56.52%)
Arcelor Acos Especiais do Brasil Lt (39.17%)
Acoes em Tesouraria (0.11%)
Tarpon Investment Group Ltd. (0.02%)",
2477,"",Carlos Augusto A Paes Barros,Carlos Augusto A Paes Barros,'',-,-,-,-,-,Economatica associado,"",Const Beter (0.00%),"","","",
2478,"",Gilberto Sayao da Silva,Gilberto Sayao da Silva,'',-,-,-,-,-,Economatica associado,"",Cims (0.00%),"","","",
2479,"",Dana Equipamentos Ltda,Dana Equipamentos Ltda,'',-,-,-,-,-,Economatica associado,Albarus (84.19%),"","","","",
2480,"",Dieter Klaus Nebelung,Dieter Klaus Nebelung,'',-,-,-,-,-,Economatica associado,"","","","","",
2481,"",Emp Comunicacao Calmaria Ltda,Emp Comunicacao Calmaria Ltda,'',-,-,-,-,-,Economatica associado,"","","","","",
2482,"",Alessandro Monteiro Morgado Horta,Alessandro Monteiro Morgado Horta,'',-,-,-,-,-,Economatica associado,"",Cims (0.00%),"","","",
2483,sim,Cent Min-Rio,,'07949970000187',-,-,-,-,-,Economatica,"","","","",Anglo American Inv. - Min.de Ferro Ltda. (101.37%),
2483,"",Encopar-Emp. Nac. Com. Cred. e Part,Encopar-Emp. Nac. Com. Cred. e Part,'',-,-,-,-,-,Economatica associado,"",Tecel S Jose (36.84%),"","","",
2484,"",Companhia Goias de Participacoes,Companhia Goias de Participacoes,'',-,-,-,-,-,Economatica associado,Celg (100.00%),"","","","",
2485,sim,Elevad Atlas,,'00028986000108',-,-,-,-,-,Economatica,"","","","",Administracao e Comercio Jaguar Ltd (97.71%),
2485,"",Rosangela Maria Costi Ughini,Rosangela Maria Costi Ughini,'',-,-,-,-,-,Economatica associado,"","","","","",
2486,"",Judori Adm. e Empr. Participacoes,Judori Adm. e Empr. Participacoes,'',-,-,-,-,-,Economatica associado,"","","","","",
2487,"",Bergo Empreendimentos Ltda,Bergo Empreendimentos Ltda,'',-,-,-,-,-,Economatica associado,"",F Guimaraes (3.37%),"","","",
2488,"",Wilson Ferro de Lara,Wilson Ferro de Lara,'',-,-,-,-,-,Economatica associado,"","","","","",
2489,"",Benjamin Vito Nunes Guimaraes,Benjamin Vito Nunes Guimaraes,'',-,-,-,-,-,Economatica associado,"",F Guimaraes (0.26%),"","","",
2490,"",Perdigao S.A.,Perdigao S.A.,'',-,-,-,-,-,Economatica associado,Eleva (100.00%),"","","","",
2491,"",Epc Empr. Paranaense Com. Ltda,Epc Empr. Paranaense Com. Ltda,'',-,-,-,-,-,Economatica associado,"","","","","",
2492,"",Eldorado,,'62791116000143',-,-,-,-,-,Economatica,"","","","","Bernardo Sahm (28.38%)
Estela Sahm Shdaior (25.76%)
Dalio Sahm (22.27%)
Construtora Arao Sahm Ltda. (13.54%)",
2493,"",Edn,,'13565502000101',-,-,-,-,-,Economatica,"","","","","",
2494,"",Oes Participações S.A.,Oes Participações S.A.,'',-,-,-,-,-,Economatica associado,"","","","","",
2495,"",Milenia Holding Ltda.,Milenia Holding Ltda.,'',-,-,-,-,-,Economatica associado,"",Ban Armazens (14.99%),"","","",
2496,"",Anglo American Inv. - Min.de Ferro Ltda.,Anglo American Inv. - Min.de Ferro Ltda.,'',-,-,-,-,-,Economatica associado,Cent Min-Rio (101.37%),"","","","",
2497,"",Iberdrola Energia do Brasil,Iberdrola Energia do Brasil,'',-,-,-,-,-,Economatica associado,"","","","","",
2498,sim,Eleva,,'92776665000100',-,-,-,-,-,Economatica,"","","","",Perdigao S.A. (100.00%),
2498,"",Fundo Garantia de Operacoes Fgo,Fundo Garantia de Operacoes Fgo,'',-,-,-,-,-,Economatica associado,"","","","","",
2499,"",Dalio Sahm,Dalio Sahm,'',-,-,-,-,-,Economatica associado,"",Eldorado (22.27%),"","","",
2500,"",Estela Sahm Shdaior,Estela Sahm Shdaior,'',-,-,-,-,-,Economatica associado,"",Eldorado (25.76%),"","","",
2501,"",Roberta Anamaria Civita,Roberta Anamaria Civita,'',-,-,-,-,-,Economatica associado,"","","","","",
2502,"",Const Andrade Gutierrez S/A,Const Andrade Gutierrez S/A,'',-,-,-,-,-,Economatica associado,"","","","","",
2503,"",Antarctica MG,,'23536691000148',-,-,-,-,-,Economatica,"","","","","",
2504,"",Bernardo Sahm,Bernardo Sahm,'',-,-,-,-,-,Economatica associado,"",Eldorado (28.38%),"","","",
2505,"",Espolio Geraldo de Barros Monteiro,Espolio Geraldo de Barros Monteiro,'',-,-,-,-,-,Economatica associado,"",Ban Armazens (0.73%),"","","",
2506,"",Banrisul FIA,Banrisul FIA,'',-,-,-,-,-,Economatica associado,"","","","","",
2507,"",Construtora Arao Sahm Ltda.,Construtora Arao Sahm Ltda.,'',-,-,-,-,-,Economatica associado,"",Eldorado (13.54%),"","","",
2508,sim,Sadia S/A.,Sadia S/A.,'20730099000194',-,-,-,-,-,Economatica,"","","","","Hff Participacoes S.A. (89.73%)
BRF Foods (10.27%)",
2508,"",Ecisa,,'33261561000101',-,-,-,-,-,Economatica,"","","","","Dyl - Empreendimentos e Part. S/A (49.22%)
Richard Paul Matheson (48.15%)",
2509,"",Enxuta,,'88611975000105',-,-,-,-,-,Economatica,"","","","","",
2510,"",Grandfood Ind. e Comercio Ltda,Grandfood Ind. e Comercio Ltda,'',-,-,-,-,-,Economatica associado,"","","","","",
2511,"",Dow Quimica SA,Dow Quimica SA,'',-,-,-,-,-,Economatica associado,"","","","","",
2512,"",Ridoland do Brasil Participacoes Ltda.,Ridoland do Brasil Participacoes Ltda.,'',-,-,-,-,-,Economatica associado,Domus Populi (84.83%),"","","","",
2513,sim,Domus Populi,,'11858621000127',-,-,-,-,-,Economatica,"","","","","Ridoland do Brasil Participacoes Ltda. (84.83%)
Metropolis Capital Markets Gmbh (15.17%)
Dirk Adamski (0.00%)",
2513,"",Dirk Adamski,Dirk Adamski,'',-,-,-,-,-,Economatica associado,"",Domus Populi (0.00%),"","","",
2514,"",Douat Cia. de Participacoes,Douat Cia. de Participacoes,'',-,-,-,-,-,Economatica associado,Douat Textil (93539.93%),"","","","",
2515,"",Etienne Peinoit Douat,Etienne Peinoit Douat,'',-,-,-,-,-,Economatica associado,Douat Textil (73.05%),"","","","",
2516,"",C.L. Administracao de Bens Ltda,C.L. Administracao de Bens Ltda,'',-,-,-,-,-,Economatica associado,"","","","","",
2517,"",Gelio Francisco Alves,Gelio Francisco Alves,'',-,-,-,-,-,Economatica associado,Douat Textil (2651.61%),"","","","",
2518,"",M368 Fundo de Investimento Multimercado,M368 Fundo de Investimento Multimercado,'',-,-,-,-,-,Economatica associado,"","","","","",
2519,"",Fundo de Inv. de Acoes Dinamica Ene,Fundo de Inv. de Acoes Dinamica Ene,'',-,-,-,-,-,Economatica associado,Dinamica Ene (100.00%),"","","","",
2520,"",Eagle Capital Ss Ltda.,Eagle Capital Ss Ltda.,'',-,-,-,-,-,Economatica associado,"","","","","",
2521,"",Clube de Investimentos Sapidu,Clube de Investimentos Sapidu,'',-,-,-,-,-,Economatica associado,"","","","","",
2522,sim,Dixie Toga,,'60394723000144',-,-,-,-,-,Economatica,"","","","",Bemis Cayman Island (100.00%),
2522,sim,Dinamica Ene,,'07659538000151',-,-,-,-,-,Economatica,"","","","",Fundo de Inv. de Acoes Dinamica Ene (100.00%),
2522,sim,Antarctica Paulista,,'60522000000183',-,-,-,-,-,Economatica,"","","","","AmBev (88.09%)
Acoes Ao Portador Nao Conv.Escritur (0.62%)",
2522,"",International Finance Corporation,International Finance Corporation,'',-,-,-,-,-,Economatica associado,"","","","","",
2523,"",Bemis Cayman Island,Bemis Cayman Island,'',-,-,-,-,-,Economatica associado,Dixie Toga (100.00%),"","","","",
2524,"",CSHG Clique FIA,CSHG Clique FIA,'',-,-,-,-,-,Economatica associado,"","","","","",
2525,"",Elton Ughini,Elton Ughini,'',-,-,-,-,-,Economatica associado,"","","","","",
2526,"",Mfs International New Discovery Fund - HSBC Ctvm S.A.,Mfs International New Discovery Fund - HSBC Ctvm S.A.,'',-,-,-,-,-,Economatica associado,"","","","","",
2527,sim,Cim Itau,,'24030025000104',-,-,-,-,-,Economatica,"","","","",Votorantim Cimentos Ltda (99.22%),
2527,"",Lcm Administracao e Partic Ltda,Lcm Administracao e Partic Ltda,'',-,-,-,-,-,Economatica associado,"","","","","",
2528,sim,Dijon,,'40173064000109',-,-,-,-,-,Economatica,"","","","",Vila Moura Empr. e Part. Ltda (100.00%),
2528,"",Tocantins Participacoes S/C Ltda,Tocantins Participacoes S/C Ltda,'',-,-,-,-,-,Economatica associado,"",Arteb (31.42%),"","","",
2529,sim,Cruzeiro Sul,,'62136254000199',-,-,-,-,-,Economatica,"","","","",Cruzeiro do Sul Holding Financeira (100.00%),
2529,"",Carlos Moche Dayan,Carlos Moche Dayan,'',-,-,-,-,-,Economatica associado,"",Daycoval (15.39%),"","","",
2530,"",Perlita Agricola e Pecuaria Ltda,Perlita Agricola e Pecuaria Ltda,'',-,-,-,-,-,Economatica associado,"","","","","",
2531,"",BNY Mellon Serv. Financ. Distrib.Tits SA,BNY Mellon Serv. Financ. Distrib.Tits SA,'',-,-,-,-,-,Economatica associado,"","","","","",
2532,"",Sasson Dayan,Sasson Dayan,'',-,-,-,-,-,Economatica associado,"",Daycoval (34.76%),"","","",
2533,"",Vila Moura Empr. e Part. Ltda,Vila Moura Empr. e Part. Ltda,'',-,-,-,-,-,Economatica associado,Dijon (100.00%),"","","","",
2534,"",Morris Dayan,Morris Dayan,'',-,-,-,-,-,Economatica associado,"",Daycoval (33.33%),"","","",
2535,"",Votorantim Cimentos Ltda,Votorantim Cimentos Ltda,'',-,-,-,-,-,Economatica associado,Cim Itau (99.22%),"","","","",
2536,"",Luis Octavio A. L. Indio da Costa,Luis Octavio A. L. Indio da Costa,'',-,-,-,-,-,Economatica associado,"","","","","",
2537,"",Czarina,,'96735006000186',-,-,-,-,-,Economatica,"","","","","",
2538,"",Luis Felippe Indio da Costa,Luis Felippe Indio da Costa,'',-,-,-,-,-,Economatica associado,"","","","","",
2539,"",Guilherme de Alvares Otero Fernandes,Guilherme de Alvares Otero Fernandes,'',-,-,-,-,-,Economatica associado,"","","","","",
2540,"",Franklin Temp Valor e Fvl FIA,Franklin Temp Valor e Fvl FIA,'',-,-,-,-,-,Economatica associado,"","","","","",
2541,"",Salim Dayan,Salim Dayan,'',-,-,-,-,-,Economatica associado,"",Daycoval (15.39%),"","","",
2542,"",Tarpon Investment Group Ltd.,Tarpon Investment Group Ltd.,'',-,-,-,-,-,Economatica associado,"",Am Inox BR (0.02%),"","","",
2543,"",Cruzeiro do Sul Holding Financeira,Cruzeiro do Sul Holding Financeira,'',-,-,-,-,-,Economatica associado,Cruzeiro Sul (100.00%),"","","","",
2544,"",Has Participacoes Ltda,Has Participacoes Ltda,'',-,-,-,-,-,Economatica associado,"",Const Beter (43.65%),"","","",
2545,"",Rodolfo Rohr,Rodolfo Rohr,'',-,-,-,-,-,Economatica associado,"",Petroflex (6.49%),"","","",
2546,"",BBM Gestao de Recursos Ltda,BBM Gestao de Recursos Ltda,'',-,-,-,-,-,Economatica associado,"","","","","",
2547,"",FIP Desenvix,FIP Desenvix,'',-,-,-,-,-,Economatica associado,"","","","","",
2548,"",Crt Ciargtelec,,'92794486000103',-,-,-,-,-,Economatica,"","","","","",
2549,sim,Cosipa,,'02790893000141',-,-,-,-,-,Economatica,"","","","","Usiminas (94.57%)
Fundacao Cosipa de Seg. Social - Femco (1.54%)
Ariau Ltd (1.35%)",
2549,"",Brumadinho,,'52082872000140',-,-,-,-,-,Economatica,"","","","","",
2550,sim,Cosern,,'08324196000181',-,-,-,-,-,Economatica,"","","","",Neoenergia (85.41%),
2550,"",Armando de Carvalho Correa Ribeiro,Armando de Carvalho Correa Ribeiro,'',-,-,-,-,-,Economatica associado,"","","","","",
2551,"",HSBC Republic National Bank Of New,HSBC Republic National Bank Of New,'',-,-,-,-,-,Economatica associado,"",Arteb (9.36%),"","","",
2552,"",Shan Ban Chun,Shan Ban Chun,'',-,-,-,-,-,Economatica associado,Granoleo (99.18%),"","","","",
2553,sim,Cma Part,,'31959356000180',-,-,-,-,-,Economatica,"","","","","Net (54.84%)
Dabnt, Llc (45.15%)
Publico (0.01%)",
2553,"",Cofap,,'57500001000112',-,-,-,-,-,Economatica,"","","","","",
2554,"",Ariau Ltd,Ariau Ltd,'',-,-,-,-,-,Economatica associado,"",Cosipa (1.35%),"","","",
2555,"",Diversos,Diversos,'',-,-,-,-,-,Economatica associado,"","","","","",
2556,"",Evlc Emprend. Com. e Partic. Ltda,Evlc Emprend. Com. e Partic. Ltda,'',-,-,-,-,-,Economatica associado,"","","","","",
2557,"",Corbetta,,'92670959000152',-,-,-,-,-,Economatica,"","","","","",
2558,"",Hbfl7 Participacoes Ltda,Hbfl7 Participacoes Ltda,'',-,-,-,-,-,Economatica associado,"",Const Beter (8.26%),"","","",
2559,"","Soboc - Sociedade Beneficente, Cultural e Recreativa Oscar Chiarelli","Soboc - Sociedade Beneficente, Cultural e Recreativa Oscar Chiarelli",'',-,-,-,-,-,Economatica associado,"",Chiarelli (0.80%),"","","",
2560,"",BCN,,'60898723000181',-,-,-,-,-,Economatica,"","","","","",
2561,"",Fundacao Cosipa de Seg. Social - Femco,Fundacao Cosipa de Seg. Social - Femco,'',-,-,-,-,-,Economatica associado,"",Cosipa (1.54%),"","","",
2562,sim,Celg,,'01543032000104',-,-,-,-,-,Economatica,"","","","",Companhia Goias de Participacoes (100.00%),
2562,"",BNY Mellon,BNY Mellon,'',-,-,-,-,-,Economatica associado,"","","","","",
2563,"",Credit Agricole Asset Management,Credit Agricole Asset Management,'',-,-,-,-,-,Economatica associado,"","","","","",
2564,"","Csfb Teletrim Md Fund, Llc","Csfb Teletrim Md Fund, Llc",'',-,-,-,-,-,Economatica associado,"",Cbcc Contact Center (3.75%),"","","",
2565,"",Banco Bradesco S.A.,Banco Bradesco S.A.,'',-,-,-,-,-,Economatica associado,Banco Bec (89.39%),"","","","",
2566,"",Estado do Para,Estado do Para,'',-,-,-,-,-,Economatica associado,Banpara (99.98%),"","","","",
2567,"",Casa Anglo,,'61565511000145',-,-,-,-,-,Economatica,"","","","","",
2568,"",Luiz Angelo de Andrade Zanforlin,Luiz Angelo de Andrade Zanforlin,'',-,-,-,-,-,Economatica associado,"","","","","",
2569,"",Clube de Investimento Libra,Clube de Investimento Libra,'',-,-,-,-,-,Economatica associado,"","","","","",
2570,"",Ida Stein,Ida Stein,'',-,-,-,-,-,Economatica associado,"","","","","",
2571,"",Bunge Brasil Holdings B.V.,Bunge Brasil Holdings B.V.,'',-,-,-,-,-,Economatica associado,Bunge Brasil (69.66%),"",Bunge Alimentos (controlada por Bunge Brasil),"","",
2572,"",Stephan Heinz Josef Victor Weber,Stephan Heinz Josef Victor Weber,'',-,-,-,-,-,Economatica associado,"","","","","",
2573,"",Prece Previdencia da Cedae,Prece Previdencia da Cedae,'',-,-,-,-,-,Economatica associado,"","","","","",
2574,"",Companhia Paulista de Parcerias - Cpp,Companhia Paulista de Parcerias - Cpp,'',-,-,-,-,-,Economatica associado,"","","","","",
2575,"",Ronaldo Riegert,Ronaldo Riegert,'',-,-,-,-,-,Economatica associado,"","","","","",
2576,"",Reinhold Poersch Gmbh,Reinhold Poersch Gmbh,'',-,-,-,-,-,Economatica associado,"",Arteb (7.63%),"","","",
2577,"",Erico Sodre Quirino Ferreira,Erico Sodre Quirino Ferreira,'',-,-,-,-,-,Economatica associado,Ban Armazens (59.18%),"","","","",
2578,"",Governo do Estado de Sergipe,Governo do Estado de Sergipe,'',-,-,-,-,-,Economatica associado,Banese (93.64%),"","","","",
2579,"",Walter Jose de Simoni,Walter Jose de Simoni,'',-,-,-,-,-,Economatica associado,"","","","","",
2580,"",Copesul,,'88948492000192',-,-,-,-,-,Economatica,"","","","","Ipiranga Petroquimica S/A (29.46%)
Braskem (29.46%)
Petroquisa (15.63%)
BR Fund Llc (6.21%)",
2581,"",Ipiranga Petroquimica S/A,Ipiranga Petroquimica S/A,'',-,-,-,-,-,Economatica associado,"",Copesul (29.46%),"","","",
2582,"",Continental,,'60736279000106',-,-,-,-,-,Economatica,"","","","","",
2583,"",Dfv Participacoes S/A,Dfv Participacoes S/A,'',-,-,-,-,-,Economatica associado,CBC Cartucho (70.04%),"","","","",
2584,"",Arcelor Spain Holding Sl.,Arcelor Spain Holding Sl.,'',-,-,-,-,-,Economatica associado,Am Inox BR (56.52%),Sid Tubarao (16.17%),"","","",
2585,"",Spm Empreendimentos Ltda,Spm Empreendimentos Ltda,'',-,-,-,-,-,Economatica associado,"",Const Beter (7.02%),"","","",
2586,"",Mario Ramos Villares,Mario Ramos Villares,'',-,-,-,-,-,Economatica associado,"","","","","",
2587,"",Arcelor Acos Especiais do Brasil Lt,Arcelor Acos Especiais do Brasil Lt,'',-,-,-,-,-,Economatica associado,"",Am Inox BR (39.17%),"","","",
2588,"",Coldex,,'61189601000189',-,-,-,-,-,Economatica,"","","","","",
2589,"",Jose Luis Chiarelli,Jose Luis Chiarelli,'',-,-,-,-,-,Economatica associado,"",Chiarelli (0.13%),"","","",
2590,"",Claudio Rubens Bueno Chiarelli,Claudio Rubens Bueno Chiarelli,'',-,-,-,-,-,Economatica associado,"",Chiarelli (0.00%),"","","",
2591,"",Luiz Roberto Chiarelli,Luiz Roberto Chiarelli,'',-,-,-,-,-,Economatica associado,"",Chiarelli (0.13%),"","","",
